YEAR,REGION,PLANTING_DATE,MONTH,DAY,PD_WINDOW,IRRIGATION,SOIL,COMPANY_VARIETY,MG,MG_SECTION,PLANTING_DATE_FULL,MG_SEC,GENERAL_REGIONS,YIELD
2013,SW,9-Apr,4,9,C,Non,Silt Loam,S51-1-19,5.1,5.0-5.3,4/9/13,5.0_5.3,S,16.2
2013,SW,9-Apr,4,9,C,Non,Silt Loam,Terral 49R94,4.9,4.8-4.9,4/9/13,4.8_4.9,S,23.3
2013,SW,9-Apr,4,9,C,Non,Silt Loam,Terral 56R53,5.6,5.4-6.0,4/9/13,5.4+,S,42
2013,SW,23-Apr,4,23,C,Non,Silt Loam,Asgrow 5233,5.2,5.0-5.3,4/23/13,5.0_5.3,S,28
2013,SW,23-Apr,4,23,C,Non,Silt Loam,DG 4765 RR2/STS,4.7,4.5-4.7,4/23/13,4.5_4.7,S,33.9
2013,SW,23-Apr,4,23,C,Non,Silt Loam,DG 5575 RR2,5.5,5.4-6.0,4/23/13,5.4+,S,35.7
2013,SW,23-Apr,4,23,C,Non,Silt Loam,P94Y80,4.8,4.8-4.9,4/23/13,4.8_4.9,S,34.6
2013,SW,23-Apr,4,23,C,Non,Silt Loam,S49-F8,4.9,4.8-4.9,4/23/13,4.8_4.9,S,30.5
2013,SW,23-Apr,4,23,C,Non,Silt Loam,S51-1-19,5.1,5.0-5.3,4/23/13,5.0_5.3,S,21.6
2013,SW,23-Apr,4,23,C,Non,Silt Loam,Terral 49R94,4.9,4.8-4.9,4/23/13,4.8_4.9,S,31.7
2013,SW,23-Apr,4,23,C,Non,Silt Loam,Terral 56R53,5.6,5.4-6.0,4/23/13,5.4+,S,40.7
2013,SW,9-May,5,9,D,Non,Silt Loam,Asgrow 5233,5.2,5.0-5.3,5/9/13,5.0_5.3,S,14.2
2013,SW,9-May,5,9,D,Non,Silt Loam,DG 4765 RR2/STS,4.7,4.5-4.7,5/9/13,4.5_4.7,S,19
2013,SW,9-May,5,9,D,Non,Silt Loam,DG 5575 RR2,5.5,5.4-6.0,5/9/13,5.4+,S,9.4
2013,SW,9-May,5,9,D,Non,Silt Loam,P94Y80,4.8,4.8-4.9,5/9/13,4.8_4.9,S,18.1
2013,SW,9-May,5,9,D,Non,Silt Loam,S49-F8,4.9,4.8-4.9,5/9/13,4.8_4.9,S,21.7
2013,SW,9-May,5,9,D,Non,Silt Loam,S51-1-19,5.1,5.0-5.3,5/9/13,5.0_5.3,S,3.7
2013,SW,9-May,5,9,D,Non,Silt Loam,Terral 49R94,4.9,4.8-4.9,5/9/13,4.8_4.9,S,16.8
2013,SW,9-May,5,9,D,Non,Silt Loam,Terral 56R53,5.6,5.4-6.0,5/9/13,5.4+,S,15
2013,SW,23-May,5,23,E,Non,Silt Loam,Asgrow 5233,5.2,5.0-5.3,5/23/13,5.0_5.3,S,37.6
2013,SW,23-May,5,23,E,Non,Silt Loam,DG 4765 RR2/STS,4.7,4.5-4.7,5/23/13,4.5_4.7,S,45.7
2013,SW,23-May,5,23,E,Non,Silt Loam,DG 5575 RR2,5.5,5.4-6.0,5/23/13,5.4+,S,49.7
2013,SW,23-May,5,23,E,Non,Silt Loam,P94Y80,4.8,4.8-4.9,5/23/13,4.8_4.9,S,47
2013,SW,23-May,5,23,E,Non,Silt Loam,S49-F8,4.9,4.8-4.9,5/23/13,4.8_4.9,S,49.4
2013,SW,23-May,5,23,E,Non,Silt Loam,S51-1-19,5.1,5.0-5.3,5/23/13,5.0_5.3,S,29.1
2013,SW,23-May,5,23,E,Non,Silt Loam,Terral 49R94,4.9,4.8-4.9,5/23/13,4.8_4.9,S,41
2013,SW,23-May,5,23,E,Non,Silt Loam,Terral 56R53,5.6,5.4-6.0,5/23/13,5.4+,S,50.8
2013,SW,12-Jun,6,12,F,Non,Silt Loam,Asgrow 5233,5.2,5.0-5.3,6/12/13,5.0_5.3,S,23.8
2013,SW,12-Jun,6,12,F,Non,Silt Loam,DG 4765 RR2/STS,4.7,4.5-4.7,6/12/13,4.5_4.7,S,36.6
2013,SW,12-Jun,6,12,F,Non,Silt Loam,DG 5575 RR2,5.5,5.4-6.0,6/12/13,5.4+,S,26
2013,SW,12-Jun,6,12,F,Non,Silt Loam,P94Y80,4.8,4.8-4.9,6/12/13,4.8_4.9,S,32.7
2013,SW,12-Jun,6,12,F,Non,Silt Loam,S49-F8,4.9,4.8-4.9,6/12/13,4.8_4.9,S,32.2
2013,SW,12-Jun,6,12,F,Non,Silt Loam,S51-1-19,5.1,5.0-5.3,6/12/13,5.0_5.3,S,23.9
2013,SW,12-Jun,6,12,F,Non,Silt Loam,Terral 49R94,4.9,4.8-4.9,6/12/13,4.8_4.9,S,23.7
2013,SW,12-Jun,6,12,F,Non,Silt Loam,Terral 56R53,5.6,5.4-6.0,6/12/13,5.4+,S,28.4
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Asgrow 3931 ,3.9,3.0-4.4,4/3/14,3.0_4.4,S,3.2
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Asgrow 4632,4.6,4.5-4.7,4/3/14,4.5_4.7,S,8.6
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Asgrow 5332,5.3,5.0-5.3,4/3/14,5.0_5.3,S,5.1
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Dyna-Gro 32Y55,3.2,3.0-4.4,4/3/14,3.0_4.4,S,25.5
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,4/3/14,3.0_4.4,S,2.2
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Dyna-Gro S47RY13,4.7,4.5-4.7,4/3/14,4.5_4.7,S,8.6
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Dyna-Gro S56RY84,5.6,5.4-6.0,4/3/14,5.4+,S,23.1
2014,SW,3-Apr,4,3,B,Non,Silt Loam,P93Y92,3.9,3.0-4.4,4/3/14,3.0_4.4,S,3.5
2014,SW,3-Apr,4,3,B,Non,Silt Loam,P94Y82,4.8,4.8-4.9,4/3/14,4.8_4.9,S,17.4
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,4/3/14,3.0_4.4,S,4.5
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,4/3/14,4.5_4.7,S,8.8
2014,SW,3-Apr,4,3,B,Non,Silt Loam,Terral 52A94 ,5.2,5.0-5.3,4/3/14,5.0_5.3,S,14.2
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Asgrow 3931,3.9,3.0-4.4,4/23/14,3.0_4.4,S,10.1
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Asgrow 4632,4.6,4.5-4.7,4/23/14,4.5_4.7,S,23.9
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Asgrow 5332,5.3,5.0-5.3,4/23/14,5.0_5.3,S,34.9
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Dyna-Gro 32Y55,3.2,3.0-4.4,4/23/14,3.0_4.4,S,53
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,4/23/14,3.0_4.4,S,7
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Dyna-Gro S47RY13,4.7,4.5-4.7,4/23/14,4.5_4.7,S,27.8
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Dyna-Gro S56RY84,5.6,5.4-6.0,4/23/14,5.4+,S,53.5
2014,SW,23-Apr,4,23,C,Non,Silt Loam,P93Y92,3.9,3.0-4.4,4/23/14,3.0_4.4,S,9.9
2014,SW,23-Apr,4,23,C,Non,Silt Loam,P94Y82,4.8,4.8-4.9,4/23/14,4.8_4.9,S,27.7
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,4/23/14,3.0_4.4,S,8.3
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,4/23/14,4.5_4.7,S,30.3
2014,SW,23-Apr,4,23,C,Non,Silt Loam,Terral 52A94 ,5.2,5.0-5.3,4/23/14,5.0_5.3,S,30.4
2014,SW,15-May,5,15,D,Non,Silt Loam,Asgrow 3931,3.9,3.0-4.4,5/15/14,3.0_4.4,S,51.2
2014,SW,15-May,5,15,D,Non,Silt Loam,Asgrow 4632,4.6,4.5-4.7,5/15/14,4.5_4.7,S,64.7
2014,SW,15-May,5,15,D,Non,Silt Loam,Asgrow 5332,5.3,5.0-5.3,5/15/14,5.0_5.3,S,82.9
2014,SW,15-May,5,15,D,Non,Silt Loam,Dyna-Gro 32Y55,3.2,3.0-4.4,5/15/14,3.0_4.4,S,64.7
2014,SW,15-May,5,15,D,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,5/15/14,3.0_4.4,S,55.4
2014,SW,15-May,5,15,D,Non,Silt Loam,Dyna-Gro S47RY13,4.7,4.5-4.7,5/15/14,4.5_4.7,S,68.9
2014,SW,15-May,5,15,D,Non,Silt Loam,Dyna-Gro S56RY84,5.6,5.4-6.0,5/15/14,5.4+,S,70.2
2014,SW,15-May,5,15,D,Non,Silt Loam,P93Y92,3.9,3.0-4.4,5/15/14,3.0_4.4,S,43.3
2014,SW,15-May,5,15,D,Non,Silt Loam,P94Y82,4.8,4.8-4.9,5/15/14,4.8_4.9,S,68.6
2014,SW,15-May,5,15,D,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,5/15/14,3.0_4.4,S,45.6
2014,SW,15-May,5,15,D,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,5/15/14,4.5_4.7,S,66.5
2014,SW,15-May,5,15,D,Non,Silt Loam,Terral 52A94 ,5.2,5.0-5.3,5/15/14,5.0_5.3,S,73
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Asgrow 3931,3.9,3.0-4.4,6/6/14,3.0_4.4,S,44.7
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Asgrow 4632,4.6,4.5-4.7,6/6/14,4.5_4.7,S,59.7
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Asgrow 5332,5.3,5.0-5.3,6/6/14,5.0_5.3,S,64.7
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Dyna-Gro 32Y55,3.2,3.0-4.4,6/6/14,3.0_4.4,S,52.3
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,6/6/14,3.0_4.4,S,56
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Dyna-Gro S47RY13,4.7,4.5-4.7,6/6/14,4.5_4.7,S,59.1
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Dyna-Gro S56RY84,5.6,5.4-6.0,6/6/14,5.4+,S,54.1
2014,SW,6-Jun,6,6,E,Non,Silt Loam,P93Y92,3.9,3.0-4.4,6/6/14,3.0_4.4,S,46.1
2014,SW,6-Jun,6,6,E,Non,Silt Loam,P94Y82,4.8,4.8-4.9,6/6/14,4.8_4.9,S,52.9
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,6/6/14,3.0_4.4,S,52.6
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,6/6/14,4.5_4.7,S,55.7
2014,SW,6-Jun,6,6,E,Non,Silt Loam,Terral 52A94 ,5.2,5.0-5.3,6/6/14,5.0_5.3,S,58.1
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Asgrow 3931,3.9,3.0-4.4,6/17/14,3.0_4.4,S,51.4
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Asgrow 4632,4.6,4.5-4.7,6/17/14,4.5_4.7,S,58.9
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Asgrow 5332,5.3,5.0-5.3,6/17/14,5.0_5.3,S,57.9
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Dyna-Gro 32Y55,3.2,3.0-4.4,6/17/14,3.0_4.4,S,59.4
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,6/17/14,3.0_4.4,S,55
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Dyna-Gro S47RY13,4.7,4.5-4.7,6/17/14,4.5_4.7,S,61.8
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Dyna-Gro S56RY84,5.6,5.4-6.0,6/17/14,5.4+,S,60.5
2014,SW,17-Jun,6,17,F,Non,Silt Loam,P93Y92,3.9,3.0-4.4,6/17/14,3.0_4.4,S,52.4
2014,SW,17-Jun,6,17,F,Non,Silt Loam,P94Y82,4.8,4.8-4.9,6/17/14,4.8_4.9,S,63.1
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,6/17/14,3.0_4.4,S,43.9
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,6/17/14,4.5_4.7,S,61.8
2014,SW,17-Jun,6,17,F,Non,Silt Loam,Terral 52A94 ,5.2,5.0-5.3,6/17/14,5.0_5.3,S,58.3
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Armor 47R70,4.7,4.5-4.7,4/4/16,4.5_4.7,S,7.1
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Armor 55-R68,5.5,5.4-6.0,4/4/16,5.4+,S,28.2
2016,SW,4-Apr,4,4,B,Non,Silt Loam,CZ4181RY ,4.1,3.0-4.4,4/4/16,3.0_4.4,S,9.5
2016,SW,4-Apr,4,4,B,Non,Silt Loam,CZ4898RY,4.8,4.8-4.9,4/4/16,4.8_4.9,S,8.7
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,4/4/16,3.0_4.4,S,8.8
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Dyna-Gro 39RY57,3.9,3.0-4.4,4/4/16,3.0_4.4,S,25.8
2016,SW,4-Apr,4,4,B,Non,Silt Loam,P38T61BR ,3.8,3.0-4.4,4/4/16,3.0_4.4,S,4.4
2016,SW,4-Apr,4,4,B,Non,Silt Loam,P47T36R,4.7,4.5-4.7,4/4/16,4.5_4.7,S,8
2016,SW,4-Apr,4,4,B,Non,Silt Loam,P54T94R,5.4,5.4-6.0,4/4/16,5.4+,S,15
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,4/4/16,3.0_4.4,S,8.4
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,4/4/16,4.5_4.7,S,8.5
2016,SW,4-Apr,4,4,B,Non,Silt Loam,Terral 56R63 ,5.6,5.4-6.0,4/4/16,5.4+,S,27.5
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Armor 47R70,4.7,4.5-4.7,4/26/16,4.5_4.7,S,44.5
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Armor 55-R68,5.5,5.4-6.0,4/26/16,5.4+,S,53.4
2016,SW,26-Apr,4,26,C,Non,Silt Loam,CZ4181RY ,4.1,3.0-4.4,4/26/16,3.0_4.4,S,32.3
2016,SW,26-Apr,4,26,C,Non,Silt Loam,CZ4898RY,4.8,4.8-4.9,4/26/16,4.8_4.9,S,46
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,4/26/16,3.0_4.4,S,17.8
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Dyna-Gro 39RY57,3.9,3.0-4.4,4/26/16,3.0_4.4,S,47.4
2016,SW,26-Apr,4,26,C,Non,Silt Loam,P38T61BR ,3.8,3.0-4.4,4/26/16,3.0_4.4,S,17.4
2016,SW,26-Apr,4,26,C,Non,Silt Loam,P47T36R,4.7,4.5-4.7,4/26/16,4.5_4.7,S,42.7
2016,SW,26-Apr,4,26,C,Non,Silt Loam,P54T94R,5.4,5.4-6.0,4/26/16,5.4+,S,50.5
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,4/26/16,3.0_4.4,S,13.4
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,4/26/16,4.5_4.7,S,39.9
2016,SW,26-Apr,4,26,C,Non,Silt Loam,Terral 56R63 ,5.6,5.4-6.0,4/26/16,5.4+,S,54.9
2016,SW,7-May,5,7,D,Non,Silt Loam,Armor 47R70,4.7,4.5-4.7,5/7/16,4.5_4.7,S,41.5
2016,SW,7-May,5,7,D,Non,Silt Loam,Armor 55-R68,5.5,5.4-6.0,5/7/16,5.4+,S,54.1
2016,SW,7-May,5,7,D,Non,Silt Loam,CZ4181RY ,4.1,3.0-4.4,5/7/16,3.0_4.4,S,40.4
2016,SW,7-May,5,7,D,Non,Silt Loam,CZ4898RY,4.8,4.8-4.9,5/7/16,4.8_4.9,S,41.7
2016,SW,7-May,5,7,D,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,5/7/16,3.0_4.4,S,32
2016,SW,7-May,5,7,D,Non,Silt Loam,Dyna-Gro 39RY57,3.9,3.0-4.4,5/7/16,3.0_4.4,S,58.2
2016,SW,7-May,5,7,D,Non,Silt Loam,P38T61BR ,3.8,3.0-4.4,5/7/16,3.0_4.4,S,29
2016,SW,7-May,5,7,D,Non,Silt Loam,P47T36R,4.7,4.5-4.7,5/7/16,4.5_4.7,S,41.5
2016,SW,7-May,5,7,D,Non,Silt Loam,P54T94R,5.4,5.4-6.0,5/7/16,5.4+,S,55.8
2016,SW,7-May,5,7,D,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,5/7/16,3.0_4.4,S,25.1
2016,SW,7-May,5,7,D,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,5/7/16,4.5_4.7,S,42.2
2016,SW,7-May,5,7,D,Non,Silt Loam,Terral 56R63 ,5.6,5.4-6.0,5/7/16,5.4+,S,54.6
2016,SW,31-May,5,31,E,Non,Silt Loam,Armor 47R70,4.7,4.5-4.7,5/31/16,4.5_4.7,S,46.9
2016,SW,31-May,5,31,E,Non,Silt Loam,Armor 55-R68,5.5,5.4-6.0,5/31/16,5.4+,S,36
2016,SW,31-May,5,31,E,Non,Silt Loam,CZ4181RY ,4.1,3.0-4.4,5/31/16,3.0_4.4,S,50
2016,SW,31-May,5,31,E,Non,Silt Loam,CZ4898RY,4.8,4.8-4.9,5/31/16,4.8_4.9,S,38.9
2016,SW,31-May,5,31,E,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,5/31/16,3.0_4.4,S,47
2016,SW,31-May,5,31,E,Non,Silt Loam,Dyna-Gro 39RY57,3.9,3.0-4.4,5/31/16,3.0_4.4,S,42.1
2016,SW,31-May,5,31,E,Non,Silt Loam,P38T61BR ,3.8,3.0-4.4,5/31/16,3.0_4.4,S,48.5
2016,SW,31-May,5,31,E,Non,Silt Loam,P47T36R,4.7,4.5-4.7,5/31/16,4.5_4.7,S,44.4
2016,SW,31-May,5,31,E,Non,Silt Loam,P54T94R,5.4,5.4-6.0,5/31/16,5.4+,S,41.9
2016,SW,31-May,5,31,E,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,5/31/16,3.0_4.4,S,46.9
2016,SW,31-May,5,31,E,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,5/31/16,4.5_4.7,S,45
2016,SW,31-May,5,31,E,Non,Silt Loam,Terral 56R63 ,5.6,5.4-6.0,5/31/16,5.4+,S,42.4
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Armor 47R70,4.7,4.5-4.7,6/9/16,4.5_4.7,S,38.1
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Armor 55-R68,5.5,5.4-6.0,6/9/16,5.4+,S,32.9
2016,SW,9-Jun,6,9,F,Non,Silt Loam,CZ4181RY ,4.1,3.0-4.4,6/9/16,3.0_4.4,S,51.3
2016,SW,9-Jun,6,9,F,Non,Silt Loam,CZ4898RY,4.8,4.8-4.9,6/9/16,4.8_4.9,S,40.3
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,6/9/16,3.0_4.4,S,44.6
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Dyna-Gro 39RY57,3.9,3.0-4.4,6/9/16,3.0_4.4,S,45.8
2016,SW,9-Jun,6,9,F,Non,Silt Loam,P38T61BR ,3.8,3.0-4.4,6/9/16,3.0_4.4,S,44
2016,SW,9-Jun,6,9,F,Non,Silt Loam,P47T36R,4.7,4.5-4.7,6/9/16,4.5_4.7,S,44.9
2016,SW,9-Jun,6,9,F,Non,Silt Loam,P54T94R,5.4,5.4-6.0,6/9/16,5.4+,S,43.4
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,6/9/16,3.0_4.4,S,45.4
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,6/9/16,4.5_4.7,S,49
2016,SW,9-Jun,6,9,F,Non,Silt Loam,Terral 56R63 ,5.6,5.4-6.0,6/9/16,5.4+,S,39.4
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Armor 47R70,4.7,4.5-4.7,6/20/16,4.5_4.7,S,19.8
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Armor 55-R68,5.5,5.4-6.0,6/20/16,5.4+,S,22.4
2016,SW,20-Jun,6,20,F,Non,Silt Loam,CZ4181RY ,4.1,3.0-4.4,6/20/16,3.0_4.4,S,30.4
2016,SW,20-Jun,6,20,F,Non,Silt Loam,CZ4898RY,4.8,4.8-4.9,6/20/16,4.8_4.9,S,23.2
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Dyna-Gro 39RY43,3.9,3.0-4.4,6/20/16,3.0_4.4,S,23.8
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Dyna-Gro 39RY57,3.9,3.0-4.4,6/20/16,3.0_4.4,S,24.8
2016,SW,20-Jun,6,20,F,Non,Silt Loam,P38T61BR ,3.8,3.0-4.4,6/20/16,3.0_4.4,S,30.6
2016,SW,20-Jun,6,20,F,Non,Silt Loam,P47T36R,4.7,4.5-4.7,6/20/16,4.5_4.7,S,24.8
2016,SW,20-Jun,6,20,F,Non,Silt Loam,P54T94R,5.4,5.4-6.0,6/20/16,5.4+,S,24.7
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Terral 38R10 ,3.8,3.0-4.4,6/20/16,3.0_4.4,S,28.7
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Terral 47R53,4.7,4.5-4.7,6/20/16,4.5_4.7,S,24.7
2016,SW,20-Jun,6,20,F,Non,Silt Loam,Terral 56R63 ,5.6,5.4-6.0,6/20/16,5.4+,S,21.2
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-1-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,19.43
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-1-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,24.79
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-1-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,24.77
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-1-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,21.87
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-2-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,19.63
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-2-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,14.71
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-2-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,18.01
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-2-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,20.25
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-3-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,29.9
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-3-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,33.19
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-3-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,31.09
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-3-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,31.08
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-4-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,22.23
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-4-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,22.48
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-4-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,21.47
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-4-3.0-4.4,NA,3.0-4.4,3/15/16,3.0_4.4,C,23.87
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-5-4.5-4.9,NA,4.5-4.9,3/15/16,3.0_4.4,C,35.27
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-5-4.5-4.9,NA,4.5-4.9,3/15/16,3.0_4.4,C,51.17
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-5-4.5-4.9,NA,4.5-4.9,3/15/16,3.0_4.4,C,43.03
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-5-4.5-4.9,NA,4.5-4.9,3/15/16,3.0_4.4,C,44.57
2016,C,15-Mar,3,15,A,Non,Silt Loam,DL-6-4.5-4.9,NA,4.5-4.9,3/15/16,3.0_4.4,C,36.67
